Pergunta; Tipo; Tempo; Tamanho/Resultado 
1;Soma array;1.346608056;5.002686345999615E7
1;Double Stream;1.322837429;5.002686346E7
1;Stream;1.341849915;5.002686346E7
5;List;2.463549547;1000000
5;Sorted Tree;2.705607004;445013
6;Original;1.409010081;12
6;Java 7;1.188817854;12
6 -> Semana;Java 7;1.125243139;7
6 -> Semana;Java 8;1.091422984;7
7;stream;1.106605486;5.002686346E7
7;Parallel stream;1.106605486;5.002686346E7
7;For each;1.106605486;5.002686345999615E7
8;Ciclo for;1.045943755;T4706665
8;Streams;1.034648802;T4706665
