Operacao;Tipo;Modo;No.Casos;Tempo;Resultado
Soma;Array;For;1M;1.728587163;5.002686345999615E7
Soma;Array;ForEach;1M;1.758966525;5.002686345999615E7
Soma;Double Stream;Sequencial;1M;1.761967472;5.002686346E7
Soma;Double Stream;Paralela;1M;1.813015159;5.002686346E7
Soma;Stream;Sequencial;1M;1.792013659;5.002686346E7
Soma;Stream;Paralela;1M;1.620973078;5.002686346E7
Media;Array;For;1M;1.615132244;50.02686345999615
Media;Array;ForEach;1M;1.682546976;50.02686345999615
Media;Double Stream;Sequencial;1M;1.79855874;50.02686346
Media;Double Stream;Paralela;1M;1.748558345;50.02686346
Media;Stream;Sequencial;1M;1.7237952;50.02686346
Media;Stream;Paralela;1M;1.660765435;50.02686346
Soma;Array;For;2M;3.227953971;1.0006080099996126E8
Soma;Array;ForEach;2M;4.020693589;1.0006080099996126E8
Soma;Double Stream;Sequencial;2M;3.580479631;1.00060801E8
Soma;Double Stream;Paralela;2M;3.299101137;1.00060801E8
Soma;Stream;Sequencial;2M;4.82460169;1.00060801E8
Soma;Stream;Paralela;2M;3.149108637;1.00060801E8
Media;Array;For;2M;3.853773488;50.03040049998063
Media;Array;ForEach;2M;3.550974657;50.03040049998063
Media;Double Stream;Sequencial;2M;3.733994552;50.0304005
Media;Double Stream;Paralela;2M;3.398782568;50.0304005
Media;Stream;Sequencial;2M;3.643683483;50.0304005
Media;Stream;Paralela;2M;3.814024554;50.0304005
Soma;Array;For;4M;6.342388679;2.000226956697231E8
Soma;Array;ForEach;4M;6.100035528;2.000226956697231E8
Soma;Double Stream;Sequencial;4M;5.980973473;2.0002269567E8
Soma;Double Stream;Paralela;4M;5.964771041;2.0002269567E8
Soma;Stream;Sequencial;4M;6.160058818;2.0002269567E8
Soma;Stream;Paralela;4M;6.384360887;2.0002269567E8
Media;Array;For;4M;6.504546818;50.00567391743078
Media;Array;ForEach;4M;5.968782568;50.00567391743078
Media;Double Stream;Sequencial;4M;5.983114638;50.0056739175
Media;Double Stream;Paralela;4M;6.0951129;50.0056739175
Media;Stream;Sequencial;4M;6.302722249;50.0056739175
Media;Stream;Paralela;4M;6.082426969;50.0056739175
Soma;Array;For;6M;8.562492105;3.001544083699077E8
Soma;Array;ForEach;6M;8.940639903;3.001544083699077E8
Soma;Double Stream;Sequencial;6M;8.920259751;3.0015440837E8
Soma;Double Stream;Paralela;6M;8.629067188;3.0015440836999995E8
Soma;Stream;Sequencial;6M;10.914499053;3.0015440837E8
Soma;Stream;Paralela;6M;8.900277514;3.0015440836999995E8
Media;Array;For;6M;8.692766461;50.02573472831794
Media;Array;ForEach;6M;9.531484684;50.02573472831794
Media;Double Stream;Sequencial;6M;8.437071294;50.02573472833333
Media;Double Stream;Paralela;6M;8.40778462;50.025734728333326
Media;Stream;Sequencial;6M;9.097355124;50.02573472833333
Media;Stream;Paralela;6M;8.776320069;50.025734728333326
