Tipo de dados; No.Casos; Tempo; Tamanho/Resultado 
List;1M;3.171520606;300000=300000
TreeSet;1M;3.943730065;133503=133504
Streams Sequenciais;1M;4.020296068;300000=300000
Streams Paralelas;1M;2.841236775;300000=300000
List;2M;5.985016185;600000=600000
TreeSet;2M;7.251484288;153911=153912
Streams Sequenciais;2M;8.406024791;600000=600000
Streams Paralelas;2M;6.195360019;600000=600000
List;4M;12.138812175;1200000=1200000
TreeSet;4M;15.740907943;157596=157597
Streams Sequenciais;4M;23.778686247;1200000=1200000
Streams Paralelas;4M;13.045613059;1200000=1200000
List;6M;18.631972998;1800000=1800000
TreeSet;6M;19.332959892;36288=36288
Streams Sequenciais;6M;31.749736302;1800000=1800000
Streams Paralelas;6M;24.153066477;1800000=1800000
