Multiplicador; Tipo de Streams; No.Casos; Tempo; Tamanho/Resultado 
Metodo;Sequencial;1M;1.650131454;[D@5ce81285
BiFunctor;Sequencial;1M;1.786725485;[D@78c03f1f
Lambda;Sequencial;1M;2.022919627;[D@5ec0a365
Metodo;Paralela;1M;1.691635481;[D@4fe3c938
BiFunctor;Paralela;1M;1.829318648;[D@5383967b
Lambda;Paralela;1M;1.969270488;[D@2ac273d3
Metodo;Sequencial;2M;3.368922706;[D@71423665
BiFunctor;Sequencial;2M;3.493929022;[D@20398b7c
Lambda;Sequencial;2M;3.665699116;[D@6fc6f14e
Metodo;Paralela;2M;3.880327254;[D@56235b8e
BiFunctor;Paralela;2M;3.147977262;[D@3632be31
Lambda;Paralela;2M;3.600782015;[D@5abca1e0
Metodo;Sequencial;4M;6.297196037;[D@2286778
BiFunctor;Sequencial;4M;7.826023212;[D@4e9ba398
Lambda;Sequencial;4M;7.073880862;[D@6d7b4f4c
Metodo;Paralela;4M;6.773792436;[D@527740a2
BiFunctor;Paralela;4M;6.92649692;[D@13a5fe33
Lambda;Paralela;4M;7.920877151;[D@3108bc
Metodo;Sequencial;6M;11.486688378;[D@370736d9
BiFunctor;Sequencial;6M;10.162359862;[D@5f9d02cb
Lambda;Sequencial;6M;12.498752961;[D@63753b6d
Metodo;Paralela;6M;11.900015001;[D@6b09bb57
BiFunctor;Paralela;6M;11.16433957;[D@6536e911
Lambda;Paralela;6M;9.342577767;[D@520a3426
