Versao Java; Tamanho Data Set; No.Casos; Tempo; Tamanho/Resultado 
7;Total;1M;1.617615269;5.002686345999615E7
8;Total;1M;1.617615269;5.002686346E7
9;Total;1M;1.617615269;5.002686346E7
7;C/Spliterator;1M;1.663343597;5.002686346000593E7
7;Total;2M;3.102190905;1.0006080099996126E8
8;Total;2M;3.102190905;1.00060801E8
9;Total;2M;3.102190905;1.00060801E8
7;C/Spliterator;2M;3.24067543;1.0006080100001436E8
7;Total;4M;6.324802226;2.000226956697231E8
8;Total;4M;6.324802226;2.0002269567E8
9;Total;4M;6.324802226;2.0002269567E8
7;C/Spliterator;4M;6.352642113;2.0002269566998398E8
7;Total;6M;14.319345886;3.001544083699077E8
8;Total;6M;14.319345886;3.0015440837E8
9;Total;6M;14.319345886;3.0015440836999995E8
7;C/Spliterator;6M;11.726609032;3.001544083699136E8
